Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
56,female,group E,associate's degree,standard,completed,82,85,86
955,male,group E,associate's degree,standard,none,72,57,62
231,male,group C,associate's degree,standard,none,46,43,42
738,male,group D,associate's degree,standard,none,81,71,73
740,male,group D,bachelor's degree,standard,none,80,73,72
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
681,male,group B,high school,standard,none,60,68,60
463,female,group C,some college,free/reduced,none,77,90,91
866,male,group C,high school,free/reduced,none,59,53,52
11,male,group D,associate's degree,standard,none,40,52,43
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
247,female,group B,high school,standard,completed,58,70,68
360,female,group B,high school,standard,none,58,62,59
263,female,group E,high school,standard,none,99,93,90
972,female,group A,high school,free/reduced,completed,53,50,60
302,female,group C,associate's degree,standard,completed,67,84,81
761,female,group D,some high school,standard,none,48,58,54
22,male,group D,some college,standard,none,44,54,53
372,male,group D,some high school,standard,none,74,74,72
976,male,group B,some college,free/reduced,completed,60,62,60
502,male,group C,some college,free/reduced,none,63,61,54
39,male,group B,associate's degree,free/reduced,none,57,56,57
140,female,group D,some high school,standard,none,76,72,71
402,female,group A,some college,free/reduced,none,49,65,55
523,male,group C,master's degree,free/reduced,none,54,59,50
705,male,group A,bachelor's degree,free/reduced,none,62,72,65
150,male,group A,some high school,standard,completed,62,67,69
201,female,group D,some college,free/reduced,none,65,81,77
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
280,male,group D,high school,standard,none,53,52,42
88,female,group A,some college,standard,none,58,70,67
341,female,group C,high school,standard,none,61,73,63
850,male,group C,master's degree,standard,none,71,67,67
14,female,group A,master's degree,standard,none,50,53,58
442,female,group A,some high school,free/reduced,none,59,73,69
536,male,group C,associate's degree,standard,completed,51,60,58
709,female,group D,associate's degree,free/reduced,completed,42,61,58
555,female,group C,some college,free/reduced,none,32,39,33
405,female,group C,some high school,standard,none,63,73,68
