iter	RMSE
0	14.78953333
1	14.40622747
2	14.02672045
3	13.65688402
4	13.32939641
5	13.03191422
6	12.73295518
7	12.42461658
8	12.13143135
9	11.83789856
10	11.54155483
11	11.28954405
12	11.04243709
13	10.7983227
14	10.55403556
15	10.31579958
16	10.09037541
17	9.879541918
18	9.666610005
19	9.485176976
20	9.329324605
21	9.155955907
22	8.981774072
23	8.820381058
24	8.664990507
25	8.52337357
26	8.382388279
27	8.259531169
28	8.136072289
29	8.014577904
30	7.911654832
31	7.785421646
32	7.678087999
33	7.583466757
34	7.478078205
35	7.378493304
36	7.278717345
37	7.196320404
38	7.112852205
39	7.032866324
40	6.952491119
41	6.869106209
42	6.801844784
43	6.73610023
44	6.667054472
45	6.605770256
46	6.538232094
47	6.482018892
48	6.419865166
49	6.366666342
50	6.315147049
51	6.265389865
52	6.216958054
53	6.17037881
54	6.124181329
55	6.083367746
56	6.044799757
57	6.009059817
58	5.973217924
59	5.941041574
60	5.903877952
61	5.870717549
62	5.842410243
63	5.808973856
64	5.780533976
65	5.755384976
66	5.726088484
67	5.70053768
68	5.679293306
69	5.653248289
70	5.628322353
71	5.608549637
72	5.587436355
73	5.564275218
74	5.545315009
75	5.526467764
76	5.509501977
77	5.49376856
78	5.474517525
79	5.458651641
80	5.443468071
81	5.424927688
82	5.406990282
83	5.393514068
84	5.378549058
85	5.36610248
86	5.351041764
87	5.339199473
88	5.326231356
89	5.313312827
90	5.300823338
91	5.292315253
92	5.278362654
93	5.271365117
94	5.260924017
95	5.250469163
96	5.241899997
97	5.232396723
98	5.223422888
99	5.214102015
100	5.204055743
101	5.194047433
102	5.183263174
103	5.173004876
104	5.164259432
105	5.157587793
106	5.14977535
107	5.140746239
108	5.132076138
109	5.125370252
110	5.123583872
111	5.116929919
112	5.106223495
113	5.099935702
114	5.095718134
115	5.09203105
116	5.087241872
117	5.080889301
118	5.07647524
119	5.067425094
120	5.062998772
121	5.058753769
122	5.052372051
123	5.045361869
124	5.038487316
125	5.03092806
126	5.02173503
127	5.016256094
128	5.007941208
129	5.002800611
130	4.998281573
131	4.993611443
132	4.985527158
133	4.980574903
134	4.976442061
135	4.973360014
136	4.967836423
137	4.963014976
138	4.960265684
139	4.956187082
140	4.952809767
141	4.950842338
142	4.944046496
143	4.943386389
144	4.941888094
145	4.936807046
146	4.932384245
147	4.929422006
148	4.923333465
149	4.919807393
150	4.913261835
151	4.906947754
152	4.901413959
153	4.899549777
154	4.89552407
155	4.892442313
156	4.888973782
157	4.878865711
158	4.869777114
159	4.866430225
160	4.862553361
161	4.859516225
162	4.8562664
163	4.853531771
164	4.849774291
165	4.846684539
166	4.841681632
167	4.833542794
168	4.830213078
169	4.826182382
170	4.823677002
171	4.822349401
172	4.819100839
173	4.816518428
174	4.813300605
175	4.808312516
176	4.805482433
177	4.800766682
178	4.797094238
179	4.794030958
180	4.79081702
181	4.786312072
182	4.784312003
183	4.779786559
184	4.775519297
185	4.772945453
186	4.769641877
187	4.76531445
188	4.760975352
189	4.758782272
190	4.756703986
191	4.752551018
192	4.749063976
193	4.744706973
194	4.740028703
195	4.738127632
196	4.736162134
197	4.732084456
198	4.72730379
199	4.722860706
200	4.719163947
201	4.716569222
202	4.713615685
203	4.711309268
204	4.706308367
205	4.704025022
206	4.702708652
207	4.700153488
208	4.697110723
209	4.693612382
210	4.689795787
211	4.684875381
212	4.679258892
213	4.678507079
214	4.675521351
215	4.67055635
216	4.66702394
217	4.662466823
218	4.660070333
219	4.656895425
220	4.654205563
221	4.650399148
222	4.647890296
223	4.64547014
224	4.640538677
225	4.637085374
226	4.633113171
227	4.629864708
228	4.626322931
229	4.621792472
230	4.618447095
231	4.614431912
232	4.611523473
233	4.61089139
234	4.609237043
235	4.606778642
236	4.604821015
237	4.599452665
238	4.597368881
239	4.592068343
240	4.59102034
241	4.5874175
242	4.583333216
243	4.580867824
244	4.578851031
245	4.573609549
246	4.569811583
247	4.565556691
248	4.56135712
249	4.556680512
250	4.553709446
251	4.549409918
252	4.545532027
253	4.541805606
254	4.537683756
255	4.533332376
256	4.53221639
